
=== Session started 2026-07-11T12:12:18.227274 (192.168.1.168:23) ===
[12:12:18.230] [dev] eDrum telnet console
[12:12:20.635] [Config]
[12:12:20.643]   [0] en=1 type=2 note=38 ch=10 z2note=40 z2ch=10 thresh=20 sens=3250 scan=3 mask=57 ratio=40 chokethresh=50 choke=1 curve=0 retrig=30 seeds=-1 builds=-1
[12:12:20.643]   [1] en=0 type=1 note=38 ch=10 z2note=40 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[12:12:20.644]   [2] en=0 type=1 note=42 ch=10 z2note=46 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[12:12:20.657]   [3] en=1 type=2 note=36 ch=10 z2note=53 z2ch=10 thresh=149 sens=152 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=0 retrig=0 seeds=-1 builds=-1
[12:12:20.661]   [4] en=1 type=1 note=44 ch=10 z2note=44 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[12:12:26.113] [HIT] t=7145176 i=0 note=38 vel=48 raw=48 truepeak=1244 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=640.0 dchead=17.4 spikerej=193 rcstate=2 lcp=1244 refrise=0
[12:12:26.118] [SysEx TX] F0 00 7D 00 05 03 00 00 30 30 F7
[12:12:26.121] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1908 rim_peak=80 decision=HEAD samples=200
[12:12:26.124] T,H,R
[12:12:27.964] 92,0,2
[12:12:27.966] 93,0,4
[12:12:27.969] 94,0,2
[12:12:27.971] 95,0,6
[12:12:27.975] 96,2,7
[12:12:27.977] 97,13,4
[12:12:27.980] 98,25,5
[12:12:27.983] 99,45,2
[12:12:27.985] 100,65,10
[12:12:27.988] 101,70,9
[12:12:27.991] 102,70,8
[12:12:27.994] 103,81,4
[12:12:27.998] 104,84,4
[12:12:28.000] 105,81,9
[12:12:28.002] 106,60,7
[12:12:28.005] 107,57,13
[12:12:28.008] 108,46,7
[12:12:28.016] 109,42,7
[12:12:28.017] 110,34,7
[12:12:28.018] 111,15,6
[12:12:28.034] 112,3,6
[12:12:28.038] 113,0,10
[12:12:28.040] 114,0,8
[12:12:28.043] 115,0,1
[12:12:28.046] 116,0,7
[12:12:28.049] 117,0,8
[12:12:28.054] 118,0,8
[12:12:28.054] 119,0,13
[12:12:28.056] 120,0,13
[12:12:28.059] 121,0,4
[12:12:28.062] 122,0,11
[12:12:28.065] 123,0,5
[12:12:28.068] 124,1,3
[12:12:28.072] 125,9,16
[12:12:28.073] 126,13,4
[12:12:28.075] 127,14,6
[12:12:28.078] 128,23,10
[12:12:28.081] 129,29,13
[12:12:28.084] 130,41,13
[12:12:28.087] 131,49,13
[12:12:28.089] 132,57,9
[12:12:28.092] 133,59,9
[12:12:28.095] 134,59,8
[12:12:28.098] 135,65,7
[12:12:28.101] 136,63,5
[12:12:28.103] 137,56,13
[12:12:28.107] 138,46,10
[12:12:28.108] 139,49,7
[12:12:28.118] 140,40,10
[12:12:28.118] 141,28,10
[12:12:28.119] 142,24,15
[12:12:28.120] 143,6,7
[12:12:28.139] 144,0,13
[12:12:28.140] 145,0,7
[12:12:28.140] 146,0,2
[12:12:28.143] 147,0,13
[12:12:28.146] 148,0,2
[12:12:28.148] 149,0,4
[12:12:28.151] 150,0,7
[12:12:28.156] 151,0,8
[12:12:28.156] 152,0,9
[12:12:28.158] 153,0,5
[12:12:28.161] 154,0,5
[12:12:28.165] 155,0,9
[12:12:28.168] 156,0,10
[12:12:28.170] 157,0,8
[12:12:28.176] 158,8,7
[12:12:28.177] 159,16,7
[12:12:28.179] 160,34,5
[12:12:28.185] 161,41,10
[12:12:28.185] 162,57,10
[12:12:28.188] 163,62,18
[12:12:28.190] 164,63,7
[12:12:28.193] 165,73,14
[12:12:28.197] 166,72,14
[12:12:28.199] 167,69,5
[12:12:28.202] 168,57,10
[12:12:28.206] 169,49,13
[12:12:28.207] 170,40,10
[12:12:28.210] 171,26,6
[12:12:28.220] 172,18,16
[12:12:28.220] 173,8,8
[12:12:28.221] 174,0,9
[12:12:28.230] 175,0,12
[12:12:28.231] 176,0,16
[12:12:28.231] 177,0,16
[12:12:28.231] 178,0,4
[12:12:28.242] 179,0,7
[12:12:28.244] 180,0,4
[12:12:28.248] 181,0,8
[12:12:28.252] 182,0,5
[12:12:28.253] 183,0,1
[12:12:28.257] 184,0,9
[12:12:28.258] 185,0,4
[12:12:28.259] 186,8,6
[12:12:28.263] 187,12,8
[12:12:28.265] 188,14,3
[12:12:28.268] 189,17,3
[12:12:28.270] 190,20,2
[12:12:28.273] 191,19,10
[12:12:28.276] 192,26,2
[12:12:28.279] 193,34,9
[12:12:28.281] 194,45,3
[12:12:28.286] 195,46,0
[12:12:28.287] 196,47,8
[12:12:28.290] 197,51,2
[12:12:28.293] 198,50,4
[12:12:28.296] 199,53,0
[12:12:28.299] [RCEXIT] t=7147380 i=0 exit=0 lcp=44 dur=0ms margin=30
=== Session ended 2026-07-11T12:12:30.299000 ===
