
=== Session started 2026-07-11T10:38:47.152252 (192.168.1.168:23) ===
[10:38:47.157] [dev] eDrum telnet console
[10:39:20.186] [DBG] hit output OFF (quiet)
[10:39:21.664] [DBG] hit output ON
[10:39:38.794] [SCOPE] Active: input=0 floor=15
[10:39:44.462] [HIT] t=1583437 i=0 note=38 vel=35 raw=35 truepeak=909 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=698.0 dchead=12.2 spikerej=98 rcstate=2 lcp=909 refrise=1
[10:39:44.467] [SysEx TX] F0 00 7D 00 05 03 00 00 23 23 F7
[10:39:44.473] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1230 rim_peak=66 decision=HEAD samples=200
[10:39:45.277] T,H,R
[10:39:45.287] 1,544,0
[10:39:45.287] 2,565,0
[10:39:45.287] 3,533,8
[10:39:45.287] 4,529,1
[10:39:45.287] 5,592,9
[10:39:45.288] 6,640,0
[10:39:45.288] 7,689,38
[10:39:45.288] 8,790,30
[10:39:45.288] 9,896,26
[10:39:45.288] 10,982,31
[10:39:45.288] 11,1074,0
[10:39:45.290] 12,1164,31
[10:39:45.292] 13,1230,26
[10:39:45.293] 14,1230,45
[10:39:45.298] 15,1120,41
[10:39:45.299] 16,1001,29
[10:39:45.301] 17,877,42
[10:39:45.306] 18,781,3
[10:39:45.307] 19,713,19
[10:39:45.309] 20,669,23
[10:39:45.313] 21,679,38
[10:39:45.321] 22,703,54
[10:39:45.321] 23,726,26
[10:39:45.322] 24,732,24
[10:39:45.323] 25,742,10
[10:39:45.330] 26,710,10
[10:39:45.331] 27,526,20
[10:39:45.334] 28,298,18
[10:39:45.338] 29,185,33
[10:39:45.341] 30,51,0
[10:39:45.342] 31,79,6
[10:39:45.348] 32,155,21
[10:39:45.349] 33,174,1
[10:39:45.349] 34,209,45
[10:39:45.352] 35,230,10
[10:39:45.363] 36,225,3
[10:39:45.363] 37,211,0
[10:39:45.364] 38,285,0
[10:39:45.364] 39,413,27
[10:39:45.382] 40,532,47
[10:39:45.385] 41,617,66
