
=== Session started 2026-07-11T10:43:21.337518 (192.168.1.168:23) ===
[10:43:21.341] [dev] eDrum telnet console
[10:43:27.956] [HIT] t=1806939 i=0 note=38 vel=12 raw=12 truepeak=321 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=152.0 dchead=6.4 spikerej=108 rcstate=2 lcp=321 refrise=0
[10:43:27.966] [SysEx TX] F0 00 7D 00 05 03 00 00 0C 0C F7
[10:43:27.969] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=358 rim_peak=23 decision=HEAD samples=200
[10:43:27.981] T,H,R
[10:43:29.002] 108,31,1
[10:43:29.003] 109,31,10
[10:43:29.004] 110,23,2
[10:43:29.017] 111,18,5
[10:43:29.017] 112,6,10
[10:43:29.018] 113,8,3
[10:43:29.024] 114,16,2
[10:43:29.026] 115,23,4
[10:43:29.029] 116,27,2
[10:43:29.034] 117,37,0
[10:43:29.035] 118,39,0
[10:43:29.036] 119,44,0
[10:43:29.040] 120,50,3
[10:43:29.042] 121,37,2
[10:43:29.045] 122,30,1
[10:43:29.048] 123,10,0
[10:43:29.051] 124,3,2
[10:43:29.054] 125,0,1
[10:43:29.056] 126,2,0
[10:43:29.060] 127,14,0
[10:43:29.062] 128,26,1
[10:43:29.070] 129,31,2
[10:43:29.071] 130,45,1
[10:43:29.072] 131,39,3
[10:43:29.072] 132,32,0
[10:43:29.078] 133,9,0
[10:43:29.078] 134,3,0
[10:43:29.082] 135,0,3
[10:43:29.085] 136,4,6
[10:43:29.089] 137,10,0
[10:43:29.094] 138,10,2
[10:43:29.094] 139,22,0
[10:43:29.095] 140,17,0
[10:43:29.104] 141,22,0
[10:43:29.105] 142,19,0
[10:43:29.105] 143,11,2
[10:43:29.106] 144,21,0
[10:43:29.115] 145,26,1
[10:43:29.119] 146,17,0
[10:43:29.123] 147,19,0
[10:43:29.124] 148,9,0
[10:43:29.128] 149,7,4
[10:43:29.129] 150,3,0
