
=== Session started 2026-07-06T19:48:00.476344 (192.168.1.168:23) ===
[19:48:00.482] [dev] eDrum telnet console
[19:48:08.636] [HIT] t=1921434 i=0 note=38 vel=127 raw=127 truepeak=4089 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=621.0 dchead=25.3 spikerej=2751
[19:48:08.641] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[19:48:08.644] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1392 decision=HEAD samples=200
[19:48:08.646] T,H,R
[19:48:09.268] 0,2,3
[19:48:09.271] 1,2,5
[19:48:09.274] 2,2,5
[19:48:09.276] 3,3,7
[19:48:09.279] 4,4,6
[19:48:09.283] 5,2,2
[19:48:09.285] 6,1,0
[19:48:09.287] 7,0,2
[19:48:09.289] 8,2,5
[19:48:09.294] 9,0,2
[19:48:09.296] 10,5,2
[19:48:09.299] 11,1,5
[19:48:09.305] 12,2,5
[19:48:09.306] 13,0,3
[19:48:09.307] 14,0,2
[19:48:09.310] 15,2,3
[19:48:09.313] 16,0,5
[19:48:09.318] 17,2,5
[19:48:09.319] 18,0,3
[19:48:09.320] 19,0,3
[19:48:09.323] 20,0,3
[19:48:09.326] 21,0,3
[19:48:09.329] 22,0,3
[19:48:09.332] 23,4,1
[19:48:09.335] 24,1,2
[19:48:09.338] 25,2,2
[19:48:09.343] 26,4,1
[19:48:09.344] 27,1,0
[19:48:09.354] 28,1,2
[19:48:09.354] 29,0,8
[19:48:09.355] 30,0,2
[19:48:09.357] 31,0,50
[19:48:09.361] 32,16,198
[19:48:09.365] 33,54,84
[19:48:09.370] 34,84,116
[19:48:09.371] 35,116,86
[19:48:09.373] 36,128,100
[19:48:09.375] 37,175,160
[19:48:09.378] 38,199,91
[19:48:09.381] 39,238,41
[19:48:09.384] 40,180,0
[19:48:09.388] 41,271,0
[19:48:09.389] 42,0,0
[19:48:09.392] 43,0,0
[19:48:09.395] 44,0,126
[19:48:09.398] 45,0,306
[19:48:09.400] 46,0,208
[19:48:09.403] 47,0,335
[19:48:09.408] 48,0,850
[19:48:09.408] 49,0,1003
[19:48:09.411] 50,0,313
[19:48:09.414] 51,412,54
[19:48:09.420] 52,2484,445
[19:48:09.421] 53,4095,125
[19:48:09.423] 54,4095,14
[19:48:09.424] 55,4095,0
[19:48:09.427] 56,4095,0
[19:48:09.430] 57,4095,271
[19:48:09.433] 58,4095,553
[19:48:09.435] 59,4095,77
[19:48:09.438] 60,4095,0
[19:48:09.442] 61,4095,349
[19:48:09.445] 62,4095,201
[19:48:09.452] 63,4095,23
[19:48:09.453] 64,4095,0
[19:48:09.455] 65,4095,238
[19:48:09.458] 66,4095,451
[19:48:09.461] 67,4095,172
[19:48:09.463] 68,4095,0
[19:48:09.469] 69,3614,0
[19:48:09.470] 70,2354,0
[19:48:09.472] 71,889,256
[19:48:09.474] 72,0,406
[19:48:09.479] 73,0,0
[19:48:09.482] 74,0,0
[19:48:09.483] 75,0,5
[19:48:09.487] 76,0,46
[19:48:09.494] 77,0,285
[19:48:09.495] 78,0,301
[19:48:09.495] 79,173,214
[19:48:09.497] 80,609,393
[19:48:09.500] 81,583,400
[19:48:09.503] 82,537,559
[19:48:09.505] 83,395,937
[19:48:09.512] 84,591,1084
[19:48:09.513] 85,929,1121
[19:48:09.513] 86,1453,1392
[19:48:09.516] 87,1808,1176
[19:48:09.519] 88,1981,801
[19:48:09.526] 89,1981,691
[19:48:09.526] 90,1533,857
[19:48:09.527] 91,505,894
[19:48:09.529] 92,0,952
[19:48:09.532] 93,0,940
[19:48:09.535] 94,0,886
[19:48:09.537] 95,0,947
[19:48:09.541] 96,0,909
[19:48:09.544] 97,214,757
[19:48:09.547] 98,646,526
[19:48:09.556] 99,1121,657
[19:48:09.556] 100,1497,867
[19:48:09.557] 101,1569,900
[19:48:09.559] 102,1566,930
[19:48:09.563] 103,1927,1141
[19:48:09.565] 104,2766,914
[19:48:09.568] 105,4095,675
[19:48:09.571] 106,4095,742
[19:48:09.574] 107,4095,550
[19:48:09.576] 108,4095,273
[19:48:09.580] 109,4095,289
[19:48:09.582] 110,4095,205
[19:48:09.585] 111,4095,228
[19:48:09.587] 112,4095,284
[19:48:09.596] 113,4095,59
[19:48:09.596] 114,4095,0
[19:48:09.597] 115,3990,0
[19:48:09.598] 116,3240,0
[19:48:09.603] 117,2607,0
[19:48:09.607] 118,1742,0
[19:48:09.608] 119,681,6
[19:48:09.613] 120,0,17
[19:48:09.613] 121,0,63
[19:48:09.615] 122,0,139
[19:48:09.618] 123,0,227
[19:48:09.621] 124,0,388
[19:48:09.627] 125,0,438
[19:48:09.628] 126,0,424
[19:48:09.629] 127,0,476
[19:48:09.632] 128,0,611
[19:48:09.634] 129,0,756
[19:48:09.637] 130,0,709
[19:48:09.639] 131,238,540
[19:48:09.643] 132,1422,422
[19:48:09.646] 133,3369,402
[19:48:09.649] 134,4095,306
[19:48:09.653] 135,4095,329
[19:48:09.659] 136,4095,499
[19:48:09.661] 137,4095,436
[19:48:09.662] 138,4095,354
[19:48:09.663] 139,4095,505
[19:48:09.669] 140,4095,681
[19:48:09.670] 141,3733,819
[19:48:09.672] 142,2999,797
[19:48:09.676] 143,2422,754
[19:48:09.678] 144,1817,818
[19:48:09.681] 145,1534,736
[19:48:09.684] 146,1285,621
[19:48:09.686] 147,1080,697
[19:48:09.689] 148,948,681
[19:48:09.696] 149,820,606
[19:48:09.697] 150,803,575
[19:48:09.699] 151,833,559
[19:48:09.700] 152,941,538
[19:48:09.702] 153,1096,438
[19:48:09.705] 154,1392,341
[19:48:09.709] 155,1721,286
[19:48:09.714] 156,2065,244
[19:48:09.714] 157,2289,236
[19:48:09.716] 158,2425,345
[19:48:09.722] 159,2454,462
[19:48:09.723] 160,2306,483
[19:48:09.728] 161,2006,581
[19:48:09.729] 162,1561,668
[19:48:09.730] 163,1097,694
[19:48:09.733] 164,637,673
[19:48:09.735] 165,248,660
[19:48:09.738] 166,0,664
[19:48:09.742] 167,0,621
[19:48:09.744] 168,0,601
[19:48:09.747] 169,0,606
[19:48:09.749] 170,0,589
[19:48:09.752] 171,0,606
[19:48:09.761] 172,0,607
[19:48:09.762] 173,0,608
[19:48:09.763] 174,0,576
[19:48:09.765] 175,0,572
[19:48:09.768] 176,0,653
[19:48:09.771] 177,124,653
[19:48:09.776] 178,596,560
[19:48:09.778] 179,1382,482
[19:48:09.780] 180,2321,501
[19:48:09.783] 181,3614,537
[19:48:09.786] 182,4095,532
[19:48:09.788] 183,4095,532
[19:48:09.792] 184,4095,457
[19:48:09.795] 185,4095,360
[19:48:09.798] 186,4095,309
[19:48:09.802] 187,4095,301
[19:48:09.803] 188,4095,297
[19:48:09.805] 189,4095,276
[19:48:09.808] 190,4095,191
[19:48:09.811] 191,4095,81
[19:48:09.814] 192,3476,0
[19:48:09.819] 193,2969,0
[19:48:09.820] 194,2502,33
[19:48:09.821] 195,1909,33
[19:48:09.824] 196,1265,20
[19:48:09.830] 197,672,48
[19:48:09.832] 198,108,118
[19:48:09.833] 199,0,205
[19:48:09.838] [HIT] t=1922641 i=0 note=38 vel=127 raw=127 truepeak=3310 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-87.0 dchead=242.3 spikerej=2944
[19:48:09.848] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[19:48:09.852] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=184 decision=HEAD samples=200
[19:48:09.854] T,H,R
[19:48:09.865] 0,2744,6
[19:48:09.865] 1,2749,7
[19:48:09.867] 2,2733,0
[19:48:09.870] 3,2684,0
[19:48:09.872] 4,2663,11
[19:48:09.875] 5,2599,5
[19:48:09.878] 6,2505,17
[19:48:09.881] 7,2377,45
[19:48:09.885] 8,2192,47
[19:48:09.887] 9,1956,89
[19:48:09.888] 10,1519,100
[19:48:09.892] 11,1117,116
[19:48:09.895] 12,606,122
[19:48:09.898] 13,47,124
[19:48:09.901] 14,0,127
[19:48:09.902] 15,0,128
[19:48:09.905] 16,0,153
[19:48:09.908] 17,0,153
[19:48:09.912] 18,0,148
[19:48:09.915] 19,0,152
[19:48:09.919] 20,0,145
[19:48:09.920] 21,233,157
[19:48:09.922] 22,638,157
[19:48:09.925] 23,1162,178
[19:48:09.928] 24,1769,177
[19:48:09.934] 25,2402,173
[19:48:09.935] 26,3022,174
[19:48:09.936] 27,3709,175
[19:48:09.938] 28,4095,182
[19:48:09.942] 29,4095,175
[19:48:09.944] 30,4095,178
[19:48:09.947] 31,4095,174
[19:48:09.949] 32,4095,153
[19:48:09.952] 33,4095,143
