
=== Session started 2026-07-06T19:28:48.091126 (192.168.1.168:23) ===
[19:28:48.092] [dev] eDrum telnet console
[19:28:59.640] [SCOPE] Active: input=0 floor=15
[19:29:05.021] [RIM] t=777803 i=0 note=40 vel=6 raw=6 truepeak=316 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=2890.0 dchead=19.9 spikerej=1582
[19:29:05.037] [SysEx TX] F0 00 7D 00 05 03 00 01 06 06 F7
[19:29:05.038] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1505 decision=RIM samples=200
[19:29:05.039] T,H,R
[19:29:05.634] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1505 decision=HEAD samples=200
[19:29:05.636] T,H,R
[19:29:05.639] 0,4,0
[19:29:05.643] 1,4,2
[19:29:05.652] 2,0,2
[19:29:05.652] 3,1,2
[19:29:05.652] 4,2,2
[19:29:05.655] 5,2,2
[19:29:05.657] 6,0,2
[19:29:05.663] 7,2,3
[19:29:05.664] 8,0,0
[19:29:05.665] 9,2,3
[19:29:05.667] 10,2,5
[19:29:05.675] 11,2,3
[19:29:05.676] 12,2,3
[19:29:05.677] 13,2,5
[19:29:05.678] 14,3,5
[19:29:05.681] 15,2,2
[19:29:05.684] 16,1,2
[19:29:05.686] 17,6,2
[19:29:05.689] 18,2,8
[19:29:05.692] 19,5,2
[19:29:05.695] 20,5,5
[19:29:05.698] 21,5,6
[19:29:05.701] 22,3,7
[19:29:05.705] 23,2,2
[19:29:05.706] 24,1,2
[19:29:05.708] 25,0,2
[19:29:05.714] 26,1,0
[19:29:05.715] 27,4,2
[19:29:05.716] 28,3,5
[19:29:05.720] 29,3,5
[19:29:05.723] 30,3,5
[19:29:05.725] 31,1,2
[19:29:05.728] 32,1,2
[19:29:05.731] 33,1,5
[19:29:05.734] 34,0,2
[19:29:05.736] 35,2,2
[19:29:05.740] 36,5,0
[19:29:05.742] 37,5,3
[19:29:05.745] 38,2,5
[19:29:05.754] 39,3,2
[19:29:05.754] 40,3,7
[19:29:05.754] 41,2,2
[19:29:05.757] 42,0,2
[19:29:05.760] 43,2,6
[19:29:05.763] 44,4,5
[19:29:05.766] 45,2,3
[19:29:05.768] 46,2,2
[19:29:05.777] 47,2,3
[19:29:05.777] 48,2,2
[19:29:05.777] 49,2,2
[19:29:05.778] 50,2,8
[19:29:05.782] 51,5,2
[19:29:05.787] 52,3,7
[19:29:05.788] 53,3,5
[19:29:05.791] 54,2,5
[19:29:05.799] 55,4,2
[19:29:05.799] 56,5,2
[19:29:05.801] 57,5,5
[19:29:05.802] 58,2,5
[19:29:05.807] 59,2,3
[19:29:05.807] 60,0,2
[19:29:05.809] 61,2,2
[19:29:05.812] 62,39,153
[19:29:05.817] 63,180,319
[19:29:05.818] 64,354,70
[19:29:05.820] 65,319,166
[19:29:05.823] 66,355,114
[19:29:05.826] 67,409,164
[19:29:05.828] 68,430,153
[19:29:05.832] 69,409,47
[19:29:05.834] 70,473,45
[19:29:05.838] 71,473,0
[19:29:05.841] 72,221,0
[19:29:05.844] 73,0,0
[19:29:05.847] 74,0,0
[19:29:05.856] 75,0,225
[19:29:05.856] 76,0,267
[19:29:05.857] 77,0,481
[19:29:05.859] 78,0,523
[19:29:05.863] 79,0,335
[19:29:05.866] 80,0,749
[19:29:05.869] 81,0,1193
[19:29:05.872] 82,2058,235
[19:29:05.874] 83,4095,73
[19:29:05.882] 84,4095,285
[19:29:05.882] 85,4095,0
[19:29:05.883] 86,4095,0
[19:29:05.884] 87,4095,379
[19:29:05.888] 88,4095,441
[19:29:05.891] 89,4095,563
[19:29:05.894] 90,4095,433
[19:29:05.896] 91,4095,486
[19:29:05.899] 92,4095,436
[19:29:05.902] 93,4095,114
[19:29:05.905] 94,4095,262
[19:29:05.909] 95,4095,551
[19:29:05.909] 96,4095,0
[19:29:05.912] 97,4095,1
[19:29:05.915] 98,2910,0
[19:29:05.919] 99,736,0
[19:29:05.922] 100,0,585
[19:29:05.925] 101,0,363
[19:29:05.927] 102,0,0
[19:29:05.929] 103,0,0
[19:29:05.932] 104,0,116
[19:29:05.935] 105,0,217
[19:29:05.939] 106,534,253
[19:29:05.941] 107,1705,481
[19:29:05.943] 108,2972,224
[19:29:05.946] 109,3071,39
[19:29:05.949] 110,3164,43
[19:29:05.958] 111,2857,482
[19:29:05.959] 112,3131,1148
[19:29:05.959] 113,3721,1505
[19:29:05.962] 114,4095,1401
[19:29:05.967] 115,4095,1334
[19:29:05.968] 116,4095,1117
[19:29:05.972] 117,4095,971
[19:29:05.973] 118,4095,1161
[19:29:05.976] 119,4075,1160
[19:29:05.983] 120,2744,982
[19:29:05.983] 121,944,932
[19:29:05.984] 122,0,1238
[19:29:05.986] 123,0,1158
[19:29:05.991] 124,0,985
[19:29:05.992] 125,0,1120
[19:29:05.994] 126,0,966
[19:29:05.997] 127,397,498
[19:29:06.001] 128,832,429
[19:29:06.005] 129,1256,764
[19:29:06.007] 130,1638,916
[19:29:06.008] 131,2069,1129
[19:29:06.012] 132,2333,1320
[19:29:06.015] 133,2839,1425
[19:29:06.018] 134,3939,1173
[19:29:06.023] 135,4095,854
[19:29:06.029] 136,4095,742
[19:29:06.030] 137,4095,684
[19:29:06.030] 138,4095,598
[19:29:06.034] 139,4095,585
[19:29:06.036] 140,4095,431
[19:29:06.039] 141,4095,254
[19:29:06.042] 142,4095,245
[19:29:06.045] 143,4095,115
[19:29:06.048] 144,4095,0
[19:29:06.051] 145,4095,0
[19:29:06.070] 146,3474,0
[19:29:06.071] 147,2413,0
[19:29:06.072] 148,1352,0
[19:29:06.075] 149,31,76
[19:29:06.085] 150,0,235
[19:29:06.085] 151,0,303
[19:29:06.086] 152,0,337
[19:29:06.086] 153,0,360
[19:29:06.091] 154,0,538
[19:29:06.094] 155,0,655
[19:29:06.096] 156,0,622
[19:29:06.099] 157,0,674
[19:29:06.102] 158,0,792
[19:29:06.105] 159,0,980
[19:29:06.108] 160,0,980
[19:29:06.112] 161,118,733
[19:29:06.113] 162,1693,421
[19:29:06.115] 163,4095,345
[19:29:06.119] 164,4095,283
[19:29:06.126] 165,4095,245
[19:29:06.126] 166,4095,368
[19:29:06.126] 167,4095,428
[19:29:06.128] 168,4095,428
[19:29:06.132] 169,4095,668
[19:29:06.135] 170,3175,999
[19:29:06.139] 171,1991,950
[19:29:06.142] 172,815,895
[19:29:06.143] 173,0,969
[19:29:06.146] 174,0,939
[19:29:06.149] 175,0,854
[19:29:06.152] 176,0,919
[19:29:06.165] 177,0,878
[19:29:06.166] 178,0,793
[19:29:06.167] 179,0,688
[19:29:06.167] 180,0,713
[19:29:06.171] 181,0,734
[19:29:06.174] 182,73,669
[19:29:06.177] 183,388,475
[19:29:06.180] 184,964,249
[19:29:06.188] 185,1593,175
[19:29:06.188] 186,2422,243
[19:29:06.189] 187,3318,350
[19:29:06.191] 188,4095,505
[19:29:06.194] 189,4095,676
[19:29:06.197] 190,3753,758
[19:29:06.200] 191,3025,839
[19:29:06.203] 192,2384,889
[19:29:06.206] 193,1737,937
[19:29:06.208] 194,1118,947
[19:29:06.211] 195,629,862
[19:29:06.215] 196,0,760
[19:29:06.216] 197,0,668
[19:29:06.220] 198,0,627
[19:29:06.221] 199,0,756
[19:29:06.229] [HIT] t=779010 i=0 note=38 vel=127 raw=127 truepeak=3829 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-237.0 dchead=259.6 spikerej=1799
[19:29:06.238] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[19:29:06.242] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=239 decision=HEAD samples=200
[19:29:06.244] T,H,R
[19:29:06.247] 0,184,73
[19:29:06.249] 1,0,102
[19:29:06.253] 2,0,139
[19:29:06.255] 3,0,153
[19:29:06.269] 4,0,175
[19:29:06.269] 5,0,175
[19:29:06.270] 6,0,182
[19:29:06.271] 7,0,201
[19:29:06.277] 8,77,173
[19:29:06.279] 9,347,188
[19:29:06.280] 10,800,208
[19:29:06.282] 11,1359,180
[19:29:06.289] 12,1990,148
[19:29:06.291] 13,2633,118
[19:29:06.291] 14,3214,118
[19:29:06.294] 15,3751,105
[19:29:06.298] 16,4095,99
[19:29:06.299] 17,4095,110
[19:29:06.303] 18,4095,112
[19:29:06.305] 19,4095,109
[19:29:06.312] 20,4095,121
[19:29:06.312] 21,4095,136
[19:29:06.313] 22,3956,126
[19:29:06.317] 23,3706,109
[19:29:06.325] 24,3515,112
[19:29:06.326] 25,3392,118
[19:29:06.334] 26,3257,125
[19:29:06.337] 27,3151,111
[19:29:06.339] 28,3016,85
[19:29:06.343] 29,2871,75
[19:29:06.346] 30,2766,69
[19:29:06.348] 31,2742,47
[19:29:06.351] 32,2742,37
[19:29:06.355] 33,2786,30
[19:29:06.357] 34,2854,25
